Price,SPY
2021-10-04,406.3568115234375
2021-10-05,410.5848693847656
2021-10-06,412.2913513183594
2021-10-07,415.8558349609375
2021-10-08,415.0974426269531
2021-10-11,412.09228515625
2021-10-12,411.07794189453125
2021-10-13,412.5567626953125
2021-10-14,419.4962158203125
2021-10-15,422.6910400390625
2021-10-18,423.94244384765625
2021-10-19,427.213134765625
2021-10-20,428.89111328125
2021-10-21,430.009765625
2021-10-22,429.56414794921875
2021-10-25,431.8678894042969
2021-10-26,432.25653076171875
2021-10-27,430.3415222167969
2021-10-28,434.4938659667969
2021-10-29,435.37548828125
2021-11-01,436.1243896484375
2021-11-02,437.8876953125
2021-11-03,440.5611572265625
2021-11-04,442.6372985839844
2021-11-05,444.1730651855469
2021-11-08,444.55230712890625
2021-11-09,443.0828552246094
2021-11-10,439.518310546875
2021-11-11,439.6605529785156
2021-11-12,442.978515625
2021-11-15,443.1302185058594
2021-11-16,444.8840637207031
2021-11-17,443.8033142089844
2021-11-18,445.3106689453125
2021-11-19,444.5143737792969
2021-11-22,443.26300048828125
2021-11-23,443.8507385253906
2021-11-24,445.0357360839844
2021-11-26,435.1100158691406
2021-11-29,440.44744873046875
2021-11-30,431.87738037109375
2021-12-01,427.08038330078125
2021-12-02,433.6216735839844
2021-12-03,429.8486022949219
2021-12-06,434.93939208984375
2021-12-07,443.9360656738281
2021-12-08,445.111572265625
2021-12-09,442.10638427734375
2021-12-10,446.2681884765625
2021-12-13,442.31494140625
2021-12-14,439.2718505859375
2021-12-15,446.1354064941406
2021-12-16,442.201171875
2021-12-17,437.49493408203125
2021-12-20,432.8428649902344
2021-12-21,440.5296936035156
2021-12-22,444.93438720703125
2021-12-23,447.702880859375
2021-12-27,454.038818359375
2021-12-28,453.66778564453125
2021-12-29,454.2481384277344
2021-12-30,452.9923400878906
2021-12-31,451.8507080078125
2022-01-03,454.4668884277344
2022-01-04,454.314697265625
2022-01-05,445.5909118652344
2022-01-06,445.1722412109375
2022-01-07,443.41229248046875
2022-01-10,442.8604736328125
2022-01-11,446.8941650390625
2022-01-12,448.10235595703125
2022-01-13,441.9281921386719
2022-01-14,442.1089172363281
2022-01-18,434.2793884277344
2022-01-19,429.77001953125
2022-01-20,425.0132751464844
2022-01-21,416.6699523925781
2022-01-24,418.43951416015625
2022-01-25,413.3307800292969
2022-01-26,412.2938232421875
2022-01-27,410.2578430175781
2022-01-28,420.4468078613281
2022-01-31,428.01953125
2022-02-01,430.9115905761719
2022-02-02,435.0975646972656
2022-02-03,424.87060546875
2022-02-04,426.868408203125
2022-02-07,425.49847412109375
2022-02-08,428.99945068359375
2022-02-09,435.27825927734375
2022-02-10,427.4582214355469
2022-02-11,419.029296875
2022-02-14,417.65936279296875
2022-02-15,424.3948974609375
2022-02-16,424.87060546875
2022-02-17,415.7947692871094
2022-02-18,413.1024475097656
2022-02-22,408.6692199707031
2022-02-23,401.4199523925781
2022-02-24,407.4609375
2022-02-25,416.4511413574219
2022-02-28,415.38568115234375
2022-03-01,409.0591735839844
2022-03-02,416.5843505859375
2022-03-03,414.51043701171875
2022-03-04,411.1427001953125
2022-03-07,399.02252197265625
2022-03-08,395.9971923828125
2022-03-09,406.61419677734375
2022-03-10,404.7781982421875
2022-03-11,399.63140869140625
2022-03-14,396.7107238769531
2022-03-15,405.43450927734375
2022-03-16,414.4248046875
2022-03-17,419.609619140625
2022-03-18,424.2055358886719
2022-03-21,424.0814514160156
2022-03-22,429.0438232421875
2022-03-23,423.5184326171875
2022-03-24,429.9026794433594
2022-03-25,432.002197265625
2022-03-28,435.07501220703125
2022-03-29,440.45721435546875
2022-03-30,437.737548828125
2022-03-31,431.00018310546875
2022-04-01,432.2216796875
2022-04-04,435.92431640625
2022-04-05,430.41802978515625
2022-04-06,426.1141357421875
2022-04-07,428.2613220214844
2022-04-08,427.11614990234375
2022-04-11,419.8157958984375
2022-04-12,418.26025390625
2022-04-13,423.05078125
2022-04-14,417.7831115722656
2022-04-18,417.9548645019531
2022-04-19,424.7017517089844
